2023-09-13 23:09:54: WorkerThreads: 990, CompletionPortThreads: 1000
2023-09-13 23:09:55: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:09:56: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:09:59: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:00: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:01: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:02: WorkerThreads: 979, CompletionPortThreads: 1000
2023-09-13 23:10:03: WorkerThreads: 970, CompletionPortThreads: 1000
2023-09-13 23:10:04: WorkerThreads: 971, CompletionPortThreads: 1000
2023-09-13 23:10:05: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:06: WorkerThreads: 970, CompletionPortThreads: 1000
2023-09-13 23:10:07: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:08: WorkerThreads: 970, CompletionPortThreads: 1000
2023-09-13 23:10:09: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:10: WorkerThreads: 971, CompletionPortThreads: 1000
2023-09-13 23:10:11: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:12: WorkerThreads: 972, CompletionPortThreads: 1000
2023-09-13 23:10:13: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:14: WorkerThreads: 979, CompletionPortThreads: 1000
2023-09-13 23:10:15: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:16: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:17: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:18: WorkerThreads: 987, CompletionPortThreads: 1000
2023-09-13 23:10:19: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:20: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:21: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:22: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:23: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:10:24: WorkerThreads: 987, CompletionPortThreads: 1000
2023-09-13 23:10:25: WorkerThreads: 972, CompletionPortThreads: 1000
2023-09-13 23:10:26: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:27: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:10:28: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:29: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:30: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:31: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:32: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:33: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:35: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:10:36: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:37: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:38: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:39: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:40: WorkerThreads: 979, CompletionPortThreads: 1000
2023-09-13 23:10:41: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:42: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:43: WorkerThreads: 985, CompletionPortThreads: 1000
2023-09-13 23:10:44: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:45: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:10:46: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:10:47: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:48: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:49: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:10:50: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:51: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:10:52: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:10:53: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:10:54: WorkerThreads: 985, CompletionPortThreads: 1000
2023-09-13 23:10:55: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:10:56: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:10:57: WorkerThreads: 984, CompletionPortThreads: 1000
2023-09-13 23:10:58: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:10:59: WorkerThreads: 978, CompletionPortThreads: 1000
2023-09-13 23:11:00: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:11:01: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:11:02: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:11:03: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:11:04: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:05: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:11:06: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:07: WorkerThreads: 979, CompletionPortThreads: 1000
2023-09-13 23:11:08: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:11:09: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:11:10: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:11:11: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:11:12: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:13: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:11:14: WorkerThreads: 990, CompletionPortThreads: 1000
2023-09-13 23:11:15: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:16: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:17: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:18: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:19: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:11:20: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:21: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:22: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:23: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:24: WorkerThreads: 978, CompletionPortThreads: 1000
2023-09-13 23:11:25: WorkerThreads: 988, CompletionPortThreads: 1000
2023-09-13 23:11:26: WorkerThreads: 977, CompletionPortThreads: 1000
2023-09-13 23:11:27: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:28: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:11:29: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:11:30: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:31: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:11:32: WorkerThreads: 981, CompletionPortThreads: 1000
2023-09-13 23:11:33: WorkerThreads: 975, CompletionPortThreads: 1000
2023-09-13 23:11:34: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:35: WorkerThreads: 992, CompletionPortThreads: 1000
2023-09-13 23:11:36: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:37: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:11:38: WorkerThreads: 982, CompletionPortThreads: 1000
2023-09-13 23:11:39: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:11:40: WorkerThreads: 980, CompletionPortThreads: 1000
2023-09-13 23:11:41: WorkerThreads: 974, CompletionPortThreads: 1000
2023-09-13 23:11:42: WorkerThreads: 985, CompletionPortThreads: 1000
2023-09-13 23:11:43: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:11:44: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:11:45: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:11:46: WorkerThreads: 973, CompletionPortThreads: 1000
2023-09-13 23:11:47: WorkerThreads: 983, CompletionPortThreads: 1000
2023-09-13 23:11:48: WorkerThreads: 978, CompletionPortThreads: 1000
2023-09-13 23:11:49: WorkerThreads: 977, CompletionPortThreads: 1000
2023-09-13 23:11:50: WorkerThreads: 968, CompletionPortThreads: 1000
2023-09-13 23:11:51: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:11:52: WorkerThreads: 968, CompletionPortThreads: 1000
2023-09-13 23:11:53: WorkerThreads: 976, CompletionPortThreads: 1000
2023-09-13 23:11:54: WorkerThreads: 976, CompletionPortThreads: 1000
