2023-02-22 21:05:02: WorkerThreads: 991, CompletionPortThreads: 1000
2023-02-22 21:05:03: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:05:04: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:05:05: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:05:06: WorkerThreads: 978, CompletionPortThreads: 1000
2023-02-22 21:05:07: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:05:08: WorkerThreads: 985, CompletionPortThreads: 1000
2023-02-22 21:05:09: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:10: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:11: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:05:12: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:13: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:14: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:05:15: WorkerThreads: 981, CompletionPortThreads: 1000
2023-02-22 21:05:16: WorkerThreads: 979, CompletionPortThreads: 1000
2023-02-22 21:05:17: WorkerThreads: 964, CompletionPortThreads: 1000
2023-02-22 21:05:18: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:19: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:05:20: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:21: WorkerThreads: 947, CompletionPortThreads: 1000
2023-02-22 21:05:22: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:23: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:24: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:25: WorkerThreads: 964, CompletionPortThreads: 1000
2023-02-22 21:05:26: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:27: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:28: WorkerThreads: 991, CompletionPortThreads: 1000
2023-02-22 21:05:29: WorkerThreads: 991, CompletionPortThreads: 1000
2023-02-22 21:05:30: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:31: WorkerThreads: 986, CompletionPortThreads: 1000
2023-02-22 21:05:32: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:33: WorkerThreads: 986, CompletionPortThreads: 1000
2023-02-22 21:05:34: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:35: WorkerThreads: 976, CompletionPortThreads: 1000
2023-02-22 21:05:36: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:37: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:38: WorkerThreads: 964, CompletionPortThreads: 1000
2023-02-22 21:05:39: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:40: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:41: WorkerThreads: 952, CompletionPortThreads: 1000
2023-02-22 21:05:42: WorkerThreads: 972, CompletionPortThreads: 1000
2023-02-22 21:05:43: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:44: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:45: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:46: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:47: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:05:48: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:49: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:50: WorkerThreads: 986, CompletionPortThreads: 1000
2023-02-22 21:05:51: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:52: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:05:53: WorkerThreads: 979, CompletionPortThreads: 1000
2023-02-22 21:05:54: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:05:55: WorkerThreads: 954, CompletionPortThreads: 1000
2023-02-22 21:05:56: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:05:57: WorkerThreads: 979, CompletionPortThreads: 1000
2023-02-22 21:05:58: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:05:59: WorkerThreads: 953, CompletionPortThreads: 1000
2023-02-22 21:06:00: WorkerThreads: 991, CompletionPortThreads: 1000
2023-02-22 21:06:01: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:02: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:03: WorkerThreads: 962, CompletionPortThreads: 1000
2023-02-22 21:06:04: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:06:05: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:06: WorkerThreads: 974, CompletionPortThreads: 1000
2023-02-22 21:06:07: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:06:08: WorkerThreads: 951, CompletionPortThreads: 1000
2023-02-22 21:06:09: WorkerThreads: 984, CompletionPortThreads: 1000
2023-02-22 21:06:10: WorkerThreads: 986, CompletionPortThreads: 1000
2023-02-22 21:06:11: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:12: WorkerThreads: 953, CompletionPortThreads: 1000
2023-02-22 21:06:13: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:14: WorkerThreads: 976, CompletionPortThreads: 1000
2023-02-22 21:06:15: WorkerThreads: 953, CompletionPortThreads: 1000
2023-02-22 21:06:16: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:17: WorkerThreads: 988, CompletionPortThreads: 1000
2023-02-22 21:06:18: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:06:19: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:20: WorkerThreads: 987, CompletionPortThreads: 1000
2023-02-22 21:06:21: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:22: WorkerThreads: 989, CompletionPortThreads: 1000
2023-02-22 21:06:23: WorkerThreads: 990, CompletionPortThreads: 1000
2023-02-22 21:06:24: WorkerThreads: 954, CompletionPortThreads: 1000
2023-02-22 21:06:25: WorkerThreads: 953, CompletionPortThreads: 1000
2023-02-22 21:06:26: WorkerThreads: 991, CompletionPortThreads: 1000
2023-02-22 21:06:27: WorkerThreads: 955, CompletionPortThreads: 1000
2023-02-22 21:06:28: WorkerThreads: 968, CompletionPortThreads: 1000
